doc_id,doc,tokens,ner_tags
4,"4Dbling 's place til monday , party party party . &lt; 3",4Dbling,B-person
38,Really hope I can get to @glasgowfilm for Winter 's Bone - need to get on with job applications tonight then ! Trailer : http://bit.ly/bhUlum,'s,I-creative-work
44,What Do S.F. Rabbis Eat Before and After Yom Kippur ? We Asked Five to Enlighten Us ! via @SFoodie http://bit.ly/aQrFUz,S.F.,B-location
59,Yo kids ! Today 's ACF Friday Large Group is at PITT University ! It 's at Cathedral of Learning G24 at 7pm ! Be sure to check it out !,G24,I-location
113,"RT @ravenalexis Wanna meet me , @jessejane , @rileysteele , and @kayden_kross ? Come to the Body Heat signing at Hustler Hollywood Sep 23rd 8-10pm",@kayden_kross,B-person
121,Toy story 3 tonight on the lawn !,3,I-creative-work
187,@iDame2Please yea u c da pic 1st Presbyterian all day lol,1st,B-group
194,"A Hughie O'Donoghue painting , some great curvy pots and intricately illuminated Persian books .. time well spent in the Fitzwilliam .",O'Donoghue,I-person
323,"RT @InspiredRobin : We have so much time and so little to do . Strike that , reverse it . -Roald Dahl",-Roald,B-person
345,We are tied as the 5th band to compete in South 107 's Battle of the Bands next Friday for the spot to open for ... http://fb.me/IxhGnUhs,107,I-corporation
359,Football game tonight !!!!! V-I-K-I-N-G-S !!!!!!!,V-I-K-I-N-G-S,B-group
509,#cl CamelBak BPA-Free Better Bottle with Bite Valve by Camelbak 93 days in the top 100 ( 494)Buy new : $ 4.99 - $1 ... http://bit.ly/9YA597,BPA-Free,I-product
544,"Whomever said , &quot; M&amp;M 's melt in your mouth , not in your hand &quot; never had a 1/4 of a bag in their hand at one time #myhandismulicolored #Pretty",M&amp;M,B-product
600,Small Biz Tech Tour 2010 Launches Five City Tour MONTCLAIR N.J. ...: The all day event features America's... http://tinyurl.com/28hd9fu #fb,N.J.,B-location
608,@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something,#Vh1,B-corporation
609,"I 've got a theory that if you give 100% all of the time , somehow things will work out in the end . -Larry Bird",-Larry,B-person
611,@winashbrown If that auto URL shortening could work I might stick with SD2 for a while - that saves me 3 or 4 steps when I am tweeting links,SD2,B-product
638,"Before I proceed into the paradise , let 's not forget the Princess Lover OVA 1 teaser pic , SFW http://yfrog.com/0fg2kfj",1,I-creative-work
678,"http://bit.ly/aTTQYq When Pepsi to ring usually confirm to , winning a Nokia 5800 ?",5800,I-product
696,In bed watching Day 51 HLs . ( Awaiting Marcus Bentley ! ) #BB11,#BB11,B-creative-work
700,"SCOTT WEILAND Announces Memoir Release - Music News Net : MUSIC NEWS - Simon &amp; Schuster has announced a March 8 , 20 ... http://bit.ly/ayLf9C",&amp;,I-group
746,@jaredleto ... ive been to 13 30stm concerts now and you never got me on stage during/before kings and queens :( ((,30stm,B-group
796,RT @WholeFoodsATX : Anyone out there getting excited 4 ' Dazed &amp; Confused ' on our rooftop plaza tonight ? Movie starts at sundown ! #30thBday,&amp;,I-creative-work
